date,duration(HH:mm:ss),speed(km/h),grade(%)
19-NOV-2023,00:03:00,10.0,0
19-NOV-2023,00:02:00,11.0,0
19-NOV-2023,00:05:00,10.0,0
19-NOV-2023,00:05:00,10.0,0
12-NOV-2023,00:01:00,13.7,0
12-NOV-2023,00:04:00,8.5,0
12-NOV-2023,00:01:30,14.0,0
12-NOV-2023,00:01:00,13.0,0
12-NOV-2023,00:01:00,14.0,0
12-NOV-2023,00:01:00,13.0,0
11-NOV-2023,00:10:00,10.0,0
25-OCT-2023,00:05:00,10.0,0
21-OCT-2023,00:04:30,8.0,0
21-OCT-2023,00:00:30,10.0,0
21-OCT-2023,00:05:30,8.0,0
21-OCT-2023,00:00:30,10.0,0
21-OCT-2023,00:04:30,8.0,0
21-OCT-2023,00:00:30,10.0,0
19-OCT-2023,00:01:00,10.0,0
19-OCT-2023,00:01:00,12.0,0
19-OCT-2023,00:00:30,14.0,0
19-OCT-2023,00:00:30,16.0,0
19-OCT-2023,00:00:30,17.0,0
19-OCT-2023,00:00:30,18.0,0
19-OCT-2023,00:00:30,16.0,0
19-OCT-2023,00:01:00,10.0,0
19-OCT-2023,00:00:30,16.0,0
19-OCT-2023,00:01:00,10.0,0
19-OCT-2023,00:01:00,10.0,0
19-OCT-2023,00:01:00,10.0,0
19-OCT-2023,00:00:30,15.0,0
19-OCT-2023,00:00:30,10.0,0.05
19-OCT-2023,00:00:30,10.0,0.05
19-OCT-2023,00:00:30,10.0,0.05
19-OCT-2023,00:01:00,10.0,0.05
19-OCT-2023,00:01:00,10.0,0
12-OCT-2023,00:10:00,8.0,0
05-OCT-2023,00:10:00,8.0,0
05-OCT-2023,00:10:00,8.0,0
05-OCT-2023,00:05:00,8.0,0.03
05-OCT-2023,00:10:00,8.0,0
03-OCT-2023,,8.0,0
03-OCT-2023,,8.0,0
30-AUG-2023,00:07:30,8.0,0
30-AUG-2023,00:07:30,8.0,0
24-AUG-2023,,8.0,0
24-AUG-2023,,8.0,0
24-AUG-2023,,8.0,0
13-AUG-2023,00:05:00,8.5,0
06-AUG-2023,00:09:00,8.5,0
05-AUG-2023,,8.0,0
05-AUG-2023,,8.0,0
05-AUG-2023,,8.0,0
31-JUL-2023,00:01:00,10.0,0
31-JUL-2023,00:00:30,15.0,0
31-JUL-2023,00:00:30,16.0,0
25-JUL-2023,00:02:00,10.0,0
25-JUL-2023,00:00:30,14.0,0
25-JUL-2023,00:00:30,15.0,0
25-JUL-2023,00:00:30,16.0,0
25-JUL-2023,00:00:30,14.0,0
25-JUL-2023,00:00:30,16.0,0
25-JUL-2023,00:00:30,16.0,0
25-JUL-2023,00:01:00,14.0,0
25-JUL-2023,00:00:30,14.0,0
25-JUL-2023,00:00:30,14.0,0
10-JUL-2023,00:01:00,10.0,0
10-JUL-2023,00:00:30,14.0,0
10-JUL-2023,00:00:30,15.0,0
10-JUL-2023,00:00:30,15.0,0
10-JUL-2023,00:00:40,15.0,0
17-JUN-2023,00:04:00,8.5,0
17-JUN-2023,00:04:00,8.5,0
17-JUN-2023,00:04:00,8.5,0
17-JUN-2023,00:03:00,8.5,0
17-JUN-2023,00:03:00,8.5,0
11-JUN-2023,00:01:00,9.0,0
11-JUN-2023,00:01:00,10.0,0
11-JUN-2023,00:01:00,11.0,0
11-JUN-2023,00:01:00,12.0,0
11-JUN-2023,00:00:30,14.0,0
11-JUN-2023,00:00:30,14.0,0
11-JUN-2023,00:00:30,14.0,0
11-JUN-2023,00:00:30,14.0,0
11-JUN-2023,00:01:00,5.0,0.15
11-JUN-2023,00:01:00,5.4,0.15
22-MAY-2023,00:02:00,,0
22-MAY-2023,00:02:00,,0
20-MAY-2023,00:02:00,,0
20-MAY-2023,00:02:00,,0
20-MAY-2023,00:02:00,,0
20-MAY-2023,00:02:00,,0
27-APR-2023,00:03:00,,0
27-APR-2023,00:02:00,,0
11-MAR-2023,00:02:00,,0
11-MAR-2023,00:02:00,,0
11-MAR-2023,00:01:00,,0
11-MAR-2023,00:01:00,,0
11-MAR-2023,00:01:00,,0
09-MAR-2023,00:01:00,,0
18-FEB-2023,00:01:00,,0
18-FEB-2023,00:01:00,,0
12-FEB-2023,00:01:30,,0
